source_code,source_concept_id,source_vocabulary_id,source_description,source_code_description,target_concept_id,target_concept_name,target_vocabulary_id,confidence,method,valid_start_date,valid_end_date,invalid_reason
E11.9,0,Hospital,"Type 2 diabetes mellitus, without complications","Type 2 diabetes mellitus, without complications",44787902,Lipoatrophic diabetes mellitus without complication,SNOMED,10.359390258789062,auto,1970-01-01,2099-12-31,
I10,0,Hospital,Essential (primary) hypertension,Essential (primary) hypertension,320128,Essential hypertension,SNOMED,8.698995590209961,auto,1970-01-01,2099-12-31,
J18.9,0,Hospital,"Pneumonia, unspecified organism","Pneumonia, unspecified organism",4110506,Pneumonia caused by pleuropneumonia-like organism,SNOMED,5.147286891937256,auto,1970-01-01,2099-12-31,
N18.6,0,Hospital,End stage renal disease,End stage renal disease,193782,End-stage renal disease,SNOMED,10.400162696838379,auto,1970-01-01,2099-12-31,
K21.0,0,Hospital,Gastro-esophageal reflux disease with esophagitis,Gastro-esophageal reflux disease with esophagitis,30437,Gastro-esophageal reflux disease with esophagitis,SNOMED,17.64815902709961,auto,1970-01-01,2099-12-31,
M54.5,0,Hospital,Low back pain,Low back pain,194133,Low back pain,SNOMED,9.235158920288086,auto,1970-01-01,2099-12-31,
F32.9,0,Hospital,"Major depressive disorder, single episode","Major depressive disorder, single episode",4282096,"Major depression, single episode",SNOMED,12.280360221862793,auto,1970-01-01,2099-12-31,
J44.1,0,Hospital,COPD with acute exacerbation,COPD with acute exacerbation,40483342,Acute exacerbation of bronchiectasis,SNOMED,6.868473052978516,auto,1970-01-01,2099-12-31,
MET500,0,Hospital,Metformin 500mg oral tablet,Metformin 500mg oral tablet,40063357,metformin Oral Tablet [Orabet Metformin],RxNorm,6.436172008514404,auto,1970-01-01,2099-12-31,
LISIN10,0,Hospital,Lisinopril 10mg oral tablet,Lisinopril 10mg oral tablet,40000499,lisinopril Oral Tablet,RxNorm,7.109601974487305,auto,1970-01-01,2099-12-31,
ATOR20,0,Hospital,Atorvastatin 20mg oral tablet,Atorvastatin 20mg oral tablet,40095247,atorvastatin Oral Tablet,RxNorm,7.065070152282715,auto,1970-01-01,2099-12-31,
AMOX500,0,Hospital,Amoxicillin 500mg oral capsule,Amoxicillin 500mg oral capsule,40009472,amoxicillin Oral Capsule,RxNorm,6.641001224517822,auto,1970-01-01,2099-12-31,
OMEP20,0,Hospital,Omeprazole 20mg oral capsule,Omeprazole 20mg oral capsule,40118805,omeprazole Extended Release Oral Capsule,RxNorm,6.0614705085754395,auto,1970-01-01,2099-12-31,
ASA81,0,Hospital,Aspirin 81mg oral tablet,Aspirin 81mg oral tablet,40010186,aspirin Oral Tablet [Bayer Aspirin],RxNorm,5.850802898406982,auto,1970-01-01,2099-12-31,
HYDRO25,0,Hospital,Hydrochlorothiazide 25mg oral tablet,Hydrochlorothiazide 25mg oral tablet,40045756,hydrochlorothiazide Oral Tablet,RxNorm,6.117954254150391,auto,1970-01-01,2099-12-31,
GLU,0,Hospital,"Glucose, serum","Glucose, serum",3013256,Glucose [Interpretation] in Serum or Plasma--post dose glucose,LOINC,4.003523826599121,auto,1970-01-01,2099-12-31,
HBA1C,0,Hospital,Hemoglobin A1c,Hemoglobin A1c,36032094,Hemoglobin A1c/Hemoglobin.total in DBS,LOINC,7.90995979309082,auto,1970-01-01,2099-12-31,
BUN,0,Hospital,Blood urea nitrogen,Blood urea nitrogen,3004295,Urea nitrogen [Mass/volume] in Blood,LOINC,7.237598419189453,auto,1970-01-01,2099-12-31,
CREAT,0,Hospital,"Creatinine, serum","Creatinine, serum",42868736,Creatinine in pleural fluid/Creatinine in serum,LOINC,4.509098052978516,auto,1970-01-01,2099-12-31,
WBC,0,Hospital,White blood cell count,White blood cell count,45882671,"Low blood counts, anemia, low white blood cell count, or low platelet count",LOINC,7.223125457763672,auto,1970-01-01,2099-12-31,
HGB,0,Hospital,Hemoglobin,Hemoglobin,3001258,Hemoglobin C/Hemoglobin.total in Blood,LOINC,4.2514729499816895,auto,1970-01-01,2099-12-31,
PLT,0,Hospital,Platelet count,Platelet count,3049178,Platelets Large/Platelets in Blood by Automated count,LOINC,5.381471633911133,auto,1970-01-01,2099-12-31,
TSH,0,Hospital,Thyroid stimulating hormone,Thyroid stimulating hormone,3025419,Thyroid stimulating immunoglobulins [Presence] in Serum,LOINC,5.209416389465332,auto,1970-01-01,2099-12-31,
ALT,0,Hospital,Alanine aminotransferase,Alanine aminotransferase,3022893,Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma,LOINC,6.178179740905762,auto,1970-01-01,2099-12-31,
SODIUM,0,Hospital,"Sodium, serum","Sodium, serum",3019550,Sodium [Moles/volume] in Serum or Plasma,LOINC,3.1291723251342773,auto,1970-01-01,2099-12-31,
